"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 01- 12","991.33","978.69","991.71","978.69","1.16B","2.21%"
"2022- 01- 13","983.25","994.55","994.55","981.31","1.24B","-0.82%"
"2022- 01- 14","971.39","971.11","977.69","967.19","1.37B","-1.21%"
"2022- 01- 17","957.90","971.81","971.81","954.82","1.11B","-1.39%"
"2022- 01- 18","943.94","959.98","969.17","942.11","1.07B","-1.46%"
"2022- 01- 19","933.90","935.06","944.81","929.15","1.22B","-1.06%"
"2022- 01- 20","958.70","934.00","958.70","933.97","1.04B","2.66%"
"2022- 01- 21","942.85","950.67","958.38","937.48","1.13B","-1.65%"
"2022- 01- 24","915.40","935.13","935.13","911.02","1.04B","-2.91%"
"2022- 01- 25","889.44","920.95","923.07","883.17","1.29B","-2.84%"
"2022- 01- 26","882.09","892.01","900.38","881.68","1.12B","-0.83%"
"2022- 01- 27","849.23","884.23","885.00","847.34","1.17B","-3.73%"
"2022- 01- 28","872.87","852.57","872.87","835.55","1.03B","2.78%"
"2022- 02- 03","891.60","887.85","898.37","887.02","1.08B","2.15%"
"2022- 02- 04","902.87","888.51","902.87","886.93","1.05B","1.26%"
"2022- 02- 07","899.40","905.96","905.96","893.91","901.97M","-0.38%"
"2022- 02- 08","895.27","900.70","907.24","887.54","1.18B","-0.46%"
"2022- 02- 09","910.53","904.07","910.53","900.86","890.47M","1.70%"
"2022- 02- 10","895.68","914.65","914.92","893.21","858.88M","-1.63%"
"2022- 02- 11","877.42","885.31","889.42","877.28","1.03B","-2.04%"
"2022- 02- 14","852.79","864.49","867.24","850.28","889.90M","-2.81%"
"2022- 02- 15","839.92","855.62","860.40","837.83","1.04B","-1.51%"
"2022- 02- 16","878.15","857.54","878.15","857.54","876.75M","4.55%"
"2022- 02- 17","874.22","879.12","890.78","858.78","1.17B","-0.45%"
"2022- 02- 18","881.71","862.19","882.01","860.81","953.40M","0.86%"
"2022- 02- 21","884.25","871.23","884.26","865.58","865.99M","0.29%"
"2022- 02- 22","868.11","869.08","878.33","865.23","1.10B","-1.83%"
"2022- 02- 23","877.33","873.32","879.98","870.25","1.08B","1.06%"
"2022- 02- 24","848.21","869.24","870.58","847.86","1.68B","-3.32%"
"2022- 02- 25","872.98","864.72","872.98","863.47","1.37B","2.92%"
"2022- 02- 28","881.07","870.27","881.07","868.91","1.07B","0.93%"
"2022- 03- 02","895.45","880.62","896.80","879.03","1.04B","1.63%"
"2022- 03- 03","912.32","901.28","912.35","899.85","1.06B","1.88%"
"2022- 03- 04","900.96","908.47","909.24","896.84","1.00B","-1.25%"
"2022- 03- 07","881.54","889.95","889.95","878.45","865.67M","-2.16%"
"2022- 03- 08","870.14","869.05","881.30","864.69","981.99M","-1.29%"
"2022- 03- 10","889.08","885.05","892.55","884.98","987.43M","2.18%"
"2022- 03- 11","891.71","888.57","894.99","887.28","1.13B","0.30%"
"2022- 03- 14","872.44","893.18","893.18","870.81","1.15B","-2.16%"
"2022- 03- 15","871.22","870.33","874.73","866.47","1.19B","-0.14%"
"2022- 03- 16","891.80","881.89","891.80","879.68","1.35B","2.36%"
"2022- 03- 17","914.13","903.75","916.22","903.75","1.46B","2.50%"
"2022- 03- 18","922.96","915.29","922.99","912.00","1.20B","0.97%"
"2022- 03- 21","918.40","926.86","926.86","917.93","1.33B","-0.49%"
